Замена мини-джека у наушников		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		замена(1;1.0), аудио(1;1.0), аудио(1;1.0)
Отремонтировать телефон Iphone 4s		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		электроника(1;1.0), телефон(1;1.0), ремонт(1;1.0), гаджет(1;1.0)
Ремонт наушников Monster Beats gratitude		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель наушников(1;1.0), ремонт(1;1.0), аудио(1;1.0), производитель наушников(1;1.0)
Отремонтировать видеокамеру		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		видео(1;1.0), ремонт(1;1.0)
Отремонтировать наушники Whinston		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), аудио(1;1.0)
Ремонт объектива Canon		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), производитель электроники(1;1.0), производитель фото(1;1.0)
Починить фотоаппарат Panasonic Lumix DMC-LX3		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		фото техника(1;1.0), ремонт(1;1.0), производитель электроники(1;1.0), производитель телефонов(1;1.0), производитель фото(1;1.0), производитель наушников(1;1.0), производитель тв(1;1.0), производитель планшетов(1;1.0)
Отремонтировать фотоаппарат Olympus		Ремонт цифровой техники
	BAD found-wrong	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
		фото техника(1;1.0), ремонт(1;1.0), производитель фото(1;1.0)
Заменить стекло на Iphone 4s		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		замена(1;1.0), glass(1;1.0), гаджет(1;1.0)
Ремонт музыкальных центров Philips		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель электроники(1;1.0), производитель телефонов(1;1.0), производитель наушников(1;1.0), производитель тв(1;1.0), производитель планшетов(1;1.0), аудио(1;1.0), ремонт(1;1.0)
Ремонт фотоаппарата Canon		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		фото техника(1;1.0), ремонт(1;1.0), производитель электроники(1;1.0), производитель фото(1;1.0)
Замена верхнего шлейфа iPhone 5 + покупка оригинальной зарядки		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		замена(1;1.0), гаджет(1;1.0)
Ремонт радиотелефона SANYO CLT-75KM		Ремонт цифровой техники
	BAD found-wrong	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
		ремонт(1;1.0), производитель фото(1;1.0)
Ремонт аудио усилителя NAD 310		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель наушников(1;1.0), ремонт(1;1.0), аудио(1;1.0)
Ремонт телевизора Phillips 37PFL		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), электроника(1;1.0)
Отремонтировать пластиковое окно		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), house_parts(1;1.0)
Подключение домашнего кинотеатра к телевизору		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		электроника(1;1.0), подключение(1;1.0)
Наклеить защитную пленку на экраны		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		экран(1;1.0)
Починить портативный сканирующий приёмник Icom IC-R1		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		электроника(1;1.0), ремонт(1;1.0)
Ремонт ноутбука Sony. Замена батареи		Ремонт цифровой техники
	BAD found-wrong	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
		замена(1;1.0), компьютер(1;1.0), ремонт(1;1.0), производитель электроники(1;1.0), производитель телефонов(1;1.0), производитель фото(1;1.0), производитель наушников(1;1.0), производитель смарт-часов(1;1.0), производитель тв(1;1.0), производитель планшетов(1;1.0), гаджет(1;1.0)
Замена экрана и динамика iphone 4 белый		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		замена(1;1.0), экран(1;1.0), гаджет(1;1.0)
Наручные часы Hablot. Ремонт		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0)
Ремонт экрана планшета Apple iPad 4		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		гаджет(1;1.0), ремонт(1;1.0), экран(1;1.0), производитель электроники(1;1.0), производитель телефонов(1;1.0), производитель наушников(1;1.0), производитель смарт-часов(1;1.0), производитель планшетов(1;1.0), гаджет(1;1.0), электроника(1;1.0)
Починить сабвуфер klipsch		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		аудио(1;1.0), ремонт(1;1.0), производитель наушников(1;1.0)
Ремонт синтезатора Casio		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель электроники(1;1.0), производитель фото(1;1.0), производитель наушников(1;1.0), производитель планшетов(1;1.0), ремонт(1;1.0)
Починить принтер samsung scx3200		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель электроники(1;1.0), производитель телефонов(1;1.0), производитель фото(1;1.0), производитель наушников(1;1.0), производитель смарт-часов(1;1.0), производитель тв(1;1.0), производитель планшетов(1;1.0), гаджет(1;1.0), ремонт(1;1.0), электроника(1;1.0)
Ремонт микрофона AKG ht40 pro		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель электроники(1;1.0), производитель наушников(1;1.0), ремонт(1;1.0)
Починить кнопку на iPhone 4		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), гаджет(1;1.0)
Переустановка windows, настройка компьютера		Ремонт цифровой техники
	BAD found-wrong	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
		компьютер(1;1.0), программа(1;1.0), настройка(1;1.0), установить(1;1.0)
Требуется чистка ноутбука и попутно, естественно, замена термо-пасты,перепаять аудио разъем для наушников		Ремонт цифровой техники
	BAD found-wrong	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
		замена(1;1.0), очистка(1;1.0), аудио(1;1.0), компьютер(1;1.0)
Ремонт кнопочки OPEN магнитного доводчика-замка на дверь, прожекторы на улицу 2 шт		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		house_parts(1;1.0), ремонт(1;1.0)
Отремонтировать iphone		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), гаджет(1;1.0)
Ремонт автомагнитолы Mistery 6280		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0)
Заменить плату контроллера в СКУД		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		замена(1;1.0)
Настройка почты mail в айфоне		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		настройка(1;1.0)
Ремонт Apple iPhone 4S		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), производитель электроники(1;1.0), производитель телефонов(1;1.0), производитель наушников(1;1.0), производитель смарт-часов(1;1.0), производитель планшетов(1;1.0), гаджет(1;1.0), гаджет(1;1.0)
Нужен помощник для проведения рекламной акции сети интернета		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		помощь(1;1.0), сеть(1;1.0), сеть(1;1.0)
Необходимо починить кнопку iPhone 5		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), гаджет(1;1.0)
Сделать так, чтобы при включении света проигрывался звук		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		сделать(1;1.0)
Отремонтировать наушники Skullcandy Aviator		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), аудио(1;1.0), производитель наушников(1;1.0)
Ремонт ЖК телевизора		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), электроника(1;1.0)
Ремонт цифровой техники		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0)
Нужен ремонт разъема для наушников		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), аудио(1;1.0)
Ремонт автомобильных усилителей Magnat		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель электроники(1;1.0), производитель наушников(1;1.0), аудио(1;1.0), ремонт(1;1.0), машина(1;1.0)
Ремонт акустики		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0)
Необходимо установить музыку в автомобиль		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		установить(1;1.0), машина(1;1.0)
Душка для наушников Monster Beats		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель наушников(1;1.0), производитель наушников(1;1.0), аудио(1;1.0)
Ремонт наушников Sennheiser E60		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель наушников(1;1.0), ремонт(1;1.0), аудио(1;1.0)
Телефон Nokia X2. Восстановление данных		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		электроника(1;1.0), телефон(1;1.0), производитель телефонов(1;1.0), производитель наушников(1;1.0), производитель планшетов(1;1.0), данные(1;1.0)
Отремонтировать наушники Monster Bits		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель наушников(1;1.0), ремонт(1;1.0), аудио(1;1.0)
Ремонт жесткого диска WD и диагностика Time Capsule		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель электроники(1;1.0), диагностика(1;1.0), ремонт(1;1.0)
Поменять стекло на iPhone 4s		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		замена(1;1.0), гаджет(1;1.0), glass(1;1.0)
Отремонтировать Samsung Galaxy S3		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель электроники(1;1.0), производитель телефонов(1;1.0), производитель фото(1;1.0), производитель наушников(1;1.0), производитель смарт-часов(1;1.0), производитель тв(1;1.0), производитель планшетов(1;1.0), гаджет(1;1.0), ремонт(1;1.0)
Ремонт электронной книги Texet 116		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель телефонов(1;1.0), производитель смарт-часов(1;1.0), производитель планшетов(1;1.0), ремонт(1;1.0)
Починить фотик nikon d90		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), фото техника(1;1.0), производитель электроники(1;1.0), производитель фото(1;1.0)
Замена экрана и стекла iPhone 4		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		замена(1;1.0), экран(1;1.0), glass(1;1.0), гаджет(1;1.0)
Отремонтировать iPhone 5		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), гаджет(1;1.0)
Разбился экран айфона		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		экран(1;1.0)
Ремонт наушников AKG-142 HD		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), аудио(1;1.0)
Замена дисплея на iPhone 5		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		замена(1;1.0), гаджет(1;1.0)
Отремонтировать XboX 360		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0)
Ремонт радиомагнитолы Challenger		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), производитель наушников(1;1.0)
Диагностика/ремонт/ наушников beats executive		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		диагностика(1;1.0), ремонт(1;1.0), аудио(1;1.0), производитель наушников(1;1.0)
Часы Полет. Ремонт		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0)
Ремонт беспроводных наушников		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), аудио(1;1.0)
Отремонтировать телефон Lenovo S820		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		электроника(1;1.0), телефон(1;1.0), производитель электроники(1;1.0), производитель телефонов(1;1.0), производитель наушников(1;1.0), производитель планшетов(1;1.0), гаджет(1;1.0), ремонт(1;1.0)
Необходимо отремонтировать телефон		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		электроника(1;1.0), телефон(1;1.0), ремонт(1;1.0)
Диагностика и возможный ремонт наушников Monster beats tour		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель наушников(1;1.0), диагностика(1;1.0), ремонт(1;1.0), аудио(1;1.0), производитель наушников(1;1.0)
Помочь разгрузить и собрать 2 стола		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		помощь(1;1.0), собрать(1;1.0), мебель(1;1.0), принести/перенести(1;1.0)
Ремонт iPhone 4S		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), гаджет(1;1.0)
Ремонт iPhone в Марьино		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		гаджет(1;1.0), ремонт(1;1.0)
Ремонт мобильного телефона Fly		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), производитель телефонов(1;1.0), производитель планшетов(1;1.0), электроника(1;1.0), телефон(1;1.0)
Ремонт наушников AKG K81 DJ		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), аудио(1;1.0), производитель электроники(1;1.0), производитель наушников(1;1.0)
Отремонтировать наушники SteelSeries Siberia Neckband		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель электроники(1;1.0), производитель наушников(1;1.0), ремонт(1;1.0), аудио(1;1.0)
Поменять стекло и все кнопки на iPhone 4s		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		замена(1;1.0), glass(1;1.0), гаджет(1;1.0)
Ремонт планшета Acer Iconia Tab 100		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0), производитель электроники(1;1.0), производитель телефонов(1;1.0), производитель планшетов(1;1.0), производитель наушников(1;1.0), электроника(1;1.0)
Ремонт часов Skagen		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		ремонт(1;1.0)
Включить google nexus 4 после длительного простоя		Ремонт цифровой техники
	BAD found-wrong	Ремонт цифровой техники -> Планшеты и телефоны = 1.000
		производитель планшетов(1;1.0)
Ремонт iPhone 3 на Ленинском проспекте		Ремонт цифровой техники
